# x 	 avg 	 error 
10400	10359.3863266	0.00390516090136
10500	10457.7347476	0.00402526213405
10600	10555.7077648	0.00417851275785
10700	10656.3855604	0.00407611585007
10800	10756.9308633	0.00398788302467
10900	10859.4390395	0.00372118903591
11000	10962.7844373	0.003383232969
11100	11062.8665423	0.00334535654919
11200	11171.4657542	0.00254770051347
11300	11271.8506116	0.00249109631662
11400	11373.2550698	0.00234604650579
11500	11473.6624671	0.00229022025431
11600	11566.3813515	0.00289815935625
11700	11662.4830242	0.0032065791298
11800	11749.9471164	0.00424176980005
11900	11852.5100528	0.00399075186599
12000	11953.4118442	0.00388234631254
12100	12061.0086663	0.00322242427628
12200	12162.1609647	0.0031015602677
12300	12261.1858952	0.00315561827617
12400	12357.2056149	0.00345116008957
12500	12448.8573774	0.00409140981147
12600	12547.2860476	0.00418364701243
12700	12641.7620528	0.00458566513508
12800	12735.929447	0.00500551195457
12900	12832.1731508	0.00525789528414
13000	12926.1284036	0.00568243049016
13100	13025.6891711	0.00567258235573
13200	13125.4152703	0.00565035830716
13300	13227.7700454	0.00543082365773
13400	13327.6231396	0.00540125824186
13500	13426.2904315	0.00545996803776
13600	13521.9080958	0.00574205177697
13700	13626.0875683	0.00539506800557
13800	13723.3091404	0.00555730866623
13900	13821.8108418	0.00562511929306
14000	13916.9621839	0.00593127257558
14100	14019.0037193	0.00574441707099
14200	14117.2135303	0.0058300330791
14300	14220.0238992	0.00559273432298
14400	14320.6099825	0.00551319565821
14500	14417.7394795	0.00567313934164
14600	14516.1234509	0.00574496911335
14700	14612.2318398	0.00597062314336
14800	14713.0298332	0.00587636262224
14900	14810.288568	0.00602090147649
15000	14906.3579294	0.00624280470974
15100	15006.535785	0.00618968311022
15200	15106.2999682	0.00616447577536
15300	15203.6132365	0.00629978846178
15400	15305.6092437	0.00612926989245
15500	15407.7568351	0.00595117193197
15600	15509.9939988	0.00576961546463
15700	15604.8583255	0.00605997926883
15800	15696.3741645	0.00655859718559
15900	15795.1708161	0.00659303043154
16000	15895.3913474	0.00653804078502
16100	15996.9974461	0.00639767415224
16200	16091.2398766	0.00671358786634
16300	16188.4436426	0.00684394830418
16400	16288.6902565	0.00678717948074
16500	16393.6005017	0.00644845444014
16600	16491.5471971	0.00653330137758
16700	16585.9759959	0.00682778467678
16800	16686.7486425	0.00674115223146
16900	16792.9030823	0.00633709572301
17000	16894.6686161	0.00619596376143
17100	16989.1711996	0.00648121639754
17200	17087.0607823	0.00656623358907
17300	17191.8389694	0.00625208269379
17400	17287.5065014	0.00646514359757
17500	17387.1887674	0.0064463561463
